Product_Name,Brand,Category,Price_USD,Rating,Number_of_Reviews,Country_of_Origin,Black_owned
Ultra Face Mask,Drunk Elephant,Blush,67.85,1.4,686,Australia,False
Ultra Lipstick,Laura Mercier,Makeup Remover,116.43,4.2,5483,UK,True
Ultra Serum,Natasha Denona,Highlighter,90.84,1.6,5039,Italy,True
Divine Serum,Ilia Beauty,Face Mask,55.17,3.2,6202,South Korea,True
Super Foundation,Charlotte Tilbury,Highlighter,140.56,1.7,297,Germany,False
Super Eye Shadow,Danessa Myricks,Foundation,135.82,3.2,9405,UK,True
Super Lip Gloss,Bourjois,Powder,148.99,2.5,2423,Germany,True
Ultra Cleanser,Bourjois,Lip Gloss,21.43,4.3,8032,Italy,True
Magic Highlighter,IT Cosmetics,CC Cream,113.09,3.3,2468,Germany,True
Perfect Bronzer,Fenty Beauty,Face Mask,133.57,4.4,4127,Japan,True
Ultra Moisturizer,Sisley,Powder,104.91,4.0,8876,UK,True
Divine CC Cream,Juvia’s Place,Eye Shadow,101.88,4.7,7196,Italy,True
Ultra Setting Spray,NARS,Concealer,34.2,1.9,4799,Australia,True
Divine Primer,ColourPop,Eyeliner,96.0,2.2,3557,Germany,False
Divine Exfoliator,Huda Beauty,Lipstick,26.21,4.9,4167,USA,True
Perfect Blush,Tatcha,Setting Spray,104.06,3.2,2802,UK,False
Perfect Highlighter,Kiehl’s,Cleanser,131.95,4.0,4860,USA,True
Super Cleanser,Huda Beauty,Bronzer,90.45,1.5,9690,South Korea,True
Ultra Face Oil,Tarte,Primer,65.13,2.9,2612,Australia,False
Divine Lip Gloss,Glossier,Face Oil,55.14,3.8,9593,France,True
Perfect Blush,Make Up For Ever,Contour,35.33,3.4,4230,South Korea,True
Divine Foundation,Anastasia Beverly Hills,Mascara,145.37,2.3,6045,France,False
Divine Cleanser,Fenty Beauty,Face Mask,119.26,4.6,9425,Japan,True
Perfect Eyeliner,E.l.f.,Makeup Remover,148.69,3.7,59,Australia,True
Super Serum,Hourglass,Foundation,96.3,3.2,7512,Australia,False
Divine Setting Spray,Pat McGrath Labs,Highlighter,105.54,4.9,1098,Japan,True
Magic Eye Shadow,Laura Mercier,Contour,34.06,3.0,4490,Japan,True
Ultra Exfoliator,Too Faced,Bronzer,62.56,2.3,3254,France,False
Magic Lip Liner,Perricone MD,Lip Gloss,120.23,1.6,3813,Germany,False
Super Makeup Remover,RMS Beauty,Eyeliner,62.98,3.3,1926,UK,False
Perfect BB Cream,Sisley,Powder,74.95,1.9,1270,France,True
Magic BB Cream,Juvia’s Place,Highlighter,46.66,4.6,5398,Italy,True
Super Lip Liner,ColourPop,Powder,27.45,1.2,9692,Australia,False
Ultra Lip Gloss,Urban Decay,Eye Shadow,134.54,1.0,4973,France,False
Super Primer,Rare Beauty,Highlighter,111.7,1.7,9892,USA,True
Super Cleanser,Fenty Beauty,Makeup Remover,148.76,2.3,4487,USA,True
Divine Eyeliner,Fenty Beauty,Eye Shadow,74.51,4.6,4884,South Korea,True
Super Contour,Becca,Cleanser,63.79,2.0,7155,France,True
Perfect Eyeliner,Patrick Ta,Bronzer,135.46,4.0,5148,USA,True
Divine Cleanser,Shiseido,Powder,74.45,4.0,69,Australia,True
Super Foundation,Rare Beauty,Concealer,25.46,2.8,6843,South Korea,True
Magic Makeup Remover,Kylie Cosmetics,Mascara,58.41,1.4,4149,UK,False
Perfect Face Mask,RMS Beauty,Blush,142.53,2.5,734,France,False
Perfect Contour,Pat McGrath Labs,Serum,99.2,3.1,4405,Japan,True
Divine CC Cream,Fenty Beauty,Mascara,132.98,1.4,7747,South Korea,True
Perfect Lip Liner,Bite Beauty,Face Oil,72.88,1.1,3358,Australia,False
Ultra Moisturizer,Hourglass,Contour,79.42,4.7,3975,France,False
Magic Setting Spray,Drunk Elephant,Cleanser,70.15,3.0,786,Japan,False
Magic CC Cream,Urban Decay,Contour,111.62,4.9,2705,South Korea,False
Divine Setting Spray,Laura Mercier,BB Cream,45.83,2.1,6947,Japan,True
Super Exfoliator,Hourglass,Exfoliator,19.74,1.3,5980,South Korea,False
Perfect Eye Shadow,Laura Mercier,Eyeliner,112.67,3.3,1492,Germany,True
Super Highlighter,Tarte,Exfoliator,148.7,3.5,5380,Australia,False
Ultra Serum,Anastasia Beverly Hills,Concealer,49.32,2.5,3274,Australia,False
Ultra Cleanser,Laura Mercier,CC Cream,42.84,1.1,4441,South Korea,True
Perfect Serum,E.l.f.,Concealer,133.56,1.3,7450,Australia,True
Divine Cleanser,Becca,Face Mask,49.67,1.9,8956,Germany,True
Divine Primer,Tarte,Bronzer,31.81,3.1,6868,Japan,False
Super Eyeliner,E.l.f.,Primer,28.72,2.6,4597,Japan,True
Super Blush,Yves Saint Laurent,Face Mask,110.51,4.2,2973,UK,True
Magic Primer,Bourjois,Contour,142.17,3.9,8901,Italy,True
Perfect Mascara,Rare Beauty,Exfoliator,97.15,1.2,764,Australia,True
Ultra Concealer,Perricone MD,Makeup Remover,110.12,2.3,1532,Germany,False
Ultra Face Oil,Laura Mercier,Exfoliator,13.9,3.6,262,USA,True
Magic Contour,Kylie Cosmetics,Powder,107.38,4.9,5290,Australia,False
Magic Mascara,Bourjois,Cleanser,97.75,2.9,3341,UK,True
Super Eye Shadow,Bourjois,Eye Shadow,57.24,2.5,7063,Italy,True
Ultra Eyeliner,Glossier,Lip Liner,94.09,2.5,9321,France,True
Super BB Cream,Bobby Brown,Foundation,22.93,4.0,8824,Germany,True
Perfect Concealer,Becca,Lipstick,38.7,3.5,1145,UK,True
Magic Setting Spray,Farsali,Lip Liner,103.44,4.5,7547,Germany,True
Divine Makeup Remover,Tatcha,Contour,84.37,2.4,3721,France,False
Super Bronzer,Anastasia Beverly Hills,Cleanser,143.23,4.8,2308,Italy,False
Magic Lipstick,RMS Beauty,Powder,114.37,2.8,9401,Italy,False
Divine Contour,Morphe,Makeup Remover,108.92,3.6,8901,Italy,True
Ultra Blush,RMS Beauty,Lipstick,15.36,1.5,2461,South Korea,False
Divine Setting Spray,RMS Beauty,Powder,144.46,1.4,9314,UK,False
Divine Setting Spray,Huda Beauty,Face Mask,53.25,3.6,6115,Germany,True
Ultra Makeup Remover,Pat McGrath Labs,Serum,39.87,3.0,7793,France,True
Perfect Eyeliner,Sisley,Serum,17.32,2.6,1402,Italy,True
Super Mascara,Too Faced,Foundation,104.76,3.3,1435,UK,False
Magic Makeup Remover,Too Faced,Blush,34.46,2.0,5485,Italy,False
Ultra Face Mask,Tatcha,Foundation,132.75,3.7,9541,Italy,False
Perfect BB Cream,Fenty Beauty,Cleanser,86.04,4.2,7546,Germany,True
Perfect BB Cream,Natasha Denona,Powder,15.83,3.5,7966,Italy,True
Magic Lipstick,Danessa Myricks,Bronzer,15.17,3.3,9458,Australia,True
